Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Frequently,40-50,Current Employees,Human Resources,Life Sciences,54198,Male,Manager,Married,Yes,5,60,No,456,48,Master's Degree,5,61,3,5,3,18941,26733,9,38,4,3,80,1,4,2,21,17,0,15
No,Non-Travel,30-40,Ex-Employees,Sales,Life Sciences,38005,Female,Human Resources,Married,Yes,1,20,No,282,43,Associates Degree,4,41,4,2,5,18273,21275,2,17,3,3,80,2,1,4,4,2,1,19
No,Travel_Rarely,20-30,Current Employees,Human Resources,Life Sciences,1940,Male,Human Resources,Single,Yes,1,25,No,370,45,Associates Degree,1,70,3,2,2,3792,11582,9,27,2,4,80,1,27,5,13,1,3,20
No,Non-Travel,30-40,Current Employees,Research & Development,Marketing,99734,Female,Laboratory Technician,Single,Yes,5,46,No,923,23,Bachelor's Degree,1,114,5,4,1,4491,27048,5,18,1,5,80,1,37,5,30,2,14,19
No,Travel_Frequently,<20,Current Employees,Sales,Other,40962,Male,Manager,Single,Yes,2,46,Yes,573,2,Bachelor's Degree,1,81,1,5,5,10440,21366,10,12,1,4,80,3,20,1,8,15,13,0
No,Travel_Frequently,30-40,Ex-Employees,Sales,Marketing,42612,Male,Human Resources,Married,No,1,31,No,699,46,Master's Degree,2,109,2,2,2,16331,12682,5,38,5,1,80,2,7,2,32,20,8,9
No,Travel_Frequently,<20,Current Employees,Research & Development,Other,38759,Male,Manager,Divorced,No,0,59,Yes,1475,30,Master's Degree,3,86,1,2,2,2525,20495,10,21,4,1,80,0,12,1,3,18,9,9
No,Travel_Rarely,50+,Ex-Employees,Human Resources,Technical Degree,45472,Male,Manager,Divorced,No,6,51,No,129,19,Bachelor's Degree,1,118,3,3,5,16406,17259,5,28,3,2,80,1,28,4,22,7,3,14
No,Travel_Rarely,50+,Current Employees,Human Resources,Life Sciences,3818,Female,Research Scientist,Married,No,6,30,No,545,35,Master's Degree,5,77,3,3,2,14199,22043,7,40,5,4,80,2,21,3,20,2,10,20
No,Travel_Rarely,50+,Current Employees,Human Resources,Medical,3306,Female,Sales Executive,Divorced,Yes,2,56,Yes,549,45,Master's Degree,2,108,1,1,4,16545,17224,9,33,5,4,80,2,31,4,3,8,3,14
No,Non-Travel,30-40,Ex-Employees,Sales,Life Sciences,91753,Female,Sales Executive,Married,Yes,3,50,Yes,459,50,Doctoral Degree,3,35,3,4,1,6437,25293,6,28,2,4,80,2,27,2,33,13,14,1
No,Travel_Rarely,20-30,Current Employees,Research & Development,Medical,17188,Female,Sales Representative,Single,Yes,3,21,No,1224,16,Doctoral Degree,4,108,5,5,2,9737,26964,9,13,2,5,80,3,13,1,14,13,13,12
No,Travel_Rarely,40-50,Ex-Employees,Sales,Marketing,93811,Female,Human Resources,Divorced,No,4,55,Yes,1338,22,Doctoral Degree,3,45,5,4,4,3582,14675,0,20,1,1,80,0,31,2,1,7,9,2
No,Non-Travel,<20,Ex-Employees,Sales,Life Sciences,75120,Female,Human Resources,Single,Yes,5,49,Yes,1387,47,Associates Degree,2,58,1,4,5,12869,14196,3,12,3,1,80,1,38,3,39,20,5,13
No,Travel_Rarely,30-40,Current Employees,Sales,Life Sciences,13138,Male,Sales Executive,Divorced,No,5,27,Yes,1242,23,Doctoral Degree,5,118,5,4,3,8608,23098,8,23,3,4,80,2,9,4,7,11,8,5
No,Travel_Rarely,30-40,Ex-Employees,Research & Development,Marketing,75726,Male,Manager,Divorced,No,6,32,No,813,33,Associates Degree,4,99,3,1,1,3836,14789,4,37,2,5,80,0,38,5,24,4,1,19
No,Travel_Rarely,50+,Current Employees,Sales,Marketing,81864,Male,Sales Executive,Divorced,No,3,18,No,1073,31,Associates Degree,3,81,1,4,4,8306,27776,8,29,2,2,80,3,10,2,12,19,8,7
No,Travel_Rarely,40-50,Current Employees,Human Resources,Life Sciences,59092,Female,Manager,Married,No,2,31,No,262,40,Bachelor's Degree,1,53,4,5,2,8612,24273,7,18,4,3,80,0,34,5,3,0,1,13
No,Travel_Frequently,20-30,Current Employees,Sales,Life Sciences,8649,Female,Human Resources,Single,No,0,60,No,837,47,Master's Degree,3,88,2,3,5,19964,21946,4,30,5,3,80,2,20,1,18,18,5,16
No,Travel_Rarely,30-40,Ex-Employees,Human Resources,Other,93699,Male,Research Scientist,Single,No,6,25,Yes,560,23,Bachelor's Degree,3,45,5,3,2,10118,21717,8,26,5,4,80,0,16,1,10,20,5,9
No,Non-Travel,20-30,Ex-Employees,Human Resources,Marketing,45526,Male,Laboratory Technician,Married,Yes,6,29,No,399,15,Bachelor's Degree,3,58,4,3,5,1904,17473,5,20,1,4,80,1,24,3,21,18,6,11
No,Travel_Frequently,40-50,Ex-Employees,Sales,Technical Degree,82707,Male,Research Scientist,Single,No,3,34,No,1096,30,Associates Degree,2,35,3,2,5,5881,13956,8,27,5,5,80,2,11,5,28,8,8,9
No,Travel_Rarely,50+,Ex-Employees,Sales,Technical Degree,17014,Female,Research Scientist,Divorced,No,6,26,Yes,711,14,Doctoral Degree,4,109,2,2,5,19651,16430,3,13,4,3,80,2,38,1,35,6,14,17
No,Travel_Rarely,20-30,Current Employees,Research & Development,Life Sciences,39446,Male,Healthcare Representative,Divorced,No,0,20,No,897,4,Master's Degree,3,39,1,1,1,1147,18846,4,13,1,1,80,1,13,2,13,14,3,11
No,Travel_Frequently,30-40,Ex-Employees,Human Resources,Medical,47065,Male,Laboratory Technician,Divorced,No,5,59,Yes,756,19,Associates Degree,1,62,4,5,3,15377,17384,8,22,5,3,80,1,2,3,22,3,7,2
No,Non-Travel,20-30,Current Employees,Research & Development,Technical Degree,4541,Female,Manager,Married,No,4,53,Yes,838,26,Associates Degree,3,36,4,1,2,11044,28950,7,34,5,4,80,1,34,1,12,2,6,16
No,Travel_Frequently,<20,Ex-Employees,Sales,Medical,5438,Female,Laboratory Technician,Divorced,No,1,58,Yes,175,3,Doctoral Degree,3,60,2,5,3,11198,10188,9,40,3,5,80,0,13,3,12,0,14,8
No,Travel_Frequently,40-50,Current Employees,Human Resources,Life Sciences,88256,Male,Healthcare Representative,Divorced,Yes,4,43,No,1050,46,Master's Degree,3,96,2,1,2,5912,17734,5,37,2,1,80,3,10,4,1,11,7,11
No,Travel_Rarely,20-30,Current Employees,Human Resources,Other,97236,Male,Research Scientist,Single,No,2,29,Yes,1286,47,Master's Degree,4,92,1,4,5,5455,29228,0,38,4,1,80,2,31,2,28,18,6,8
No,Non-Travel,50+,Current Employees,Sales,Medical,32127,Female,Manager,Divorced,Yes,4,26,No,388,23,Bachelor's Degree,3,62,4,2,4,16452,20660,10,31,5,3,80,3,30,1,40,9,9,8
No,Travel_Rarely,40-50,Ex-Employees,Human Resources,Technical Degree,9680,Female,Sales Executive,Single,Yes,4,42,Yes,1071,16,Bachelor's Degree,1,115,2,5,3,13400,10498,2,36,5,1,80,1,21,3,39,12,1,11
No,Travel_Frequently,20-30,Current Employees,Sales,Technical Degree,26794,Male,Manager,Married,No,3,36,No,1068,18,Doctoral Degree,2,62,4,2,1,7273,20496,0,21,4,5,80,2,5,3,7,12,5,5
No,Non-Travel,50+,Ex-Employees,Sales,Marketing,65461,Female,Healthcare Representative,Single,Yes,1,48,No,1373,35,Doctoral Degree,1,47,5,4,3,11029,10676,7,12,1,1,80,2,35,1,3,2,3,4
No,Non-Travel,20-30,Ex-Employees,Human Resources,Life Sciences,51085,Male,Research Scientist,Divorced,Yes,6,51,Yes,387,44,Doctoral Degree,4,118,3,3,5,1407,29858,0,28,3,4,80,3,15,3,23,7,10,3
No,Travel_Frequently,<20,Ex-Employees,Research & Development,Technical Degree,1255,Male,Sales Representative,Single,No,3,44,No,1444,32,Associates Degree,4,61,1,5,2,7450,21514,1,14,3,1,80,0,6,2,32,4,6,19
No,Travel_Rarely,<20,Current Employees,Human Resources,Technical Degree,75344,Female,Manager,Divorced,No,5,43,No,981,30,Associates Degree,2,109,1,4,4,3629,17256,0,11,3,2,80,2,6,5,8,10,14,15
No,Travel_Frequently,30-40,Ex-Employees,Research & Development,Technical Degree,93954,Male,Sales Executive,Divorced,No,0,35,Yes,420,44,Associates Degree,1,116,4,3,3,18958,28276,8,37,3,5,80,3,40,5,17,17,2,8
No,Non-Travel,30-40,Ex-Employees,Research & Development,Life Sciences,78783,Female,Research Scientist,Married,No,4,48,No,1128,3,Master's Degree,5,51,4,4,2,16267,25906,10,36,2,1,80,0,13,4,24,12,14,8
No,Travel_Frequently,40-50,Current Employees,Sales,Technical Degree,61283,Male,Human Resources,Married,Yes,4,31,No,479,47,Master's Degree,5,120,4,3,3,4841,12108,10,12,3,2,80,2,24,5,38,12,1,7
No,Non-Travel,50+,Ex-Employees,Human Resources,Other,82913,Male,Human Resources,Married,No,0,58,Yes,1480,21,Master's Degree,3,43,1,2,3,6373,13702,5,28,4,2,80,2,28,4,36,19,13,6
No,Non-Travel,40-50,Current Employees,Sales,Marketing,53995,Female,Manager,Divorced,Yes,6,37,Yes,1175,22,Master's Degree,5,40,2,4,1,6531,21854,0,16,1,4,80,3,27,5,10,12,4,10
No,Travel_Frequently,40-50,Current Employees,Sales,Medical,53476,Male,Sales Executive,Single,No,2,19,Yes,264,43,Associates Degree,2,96,1,5,2,13932,12528,0,20,3,2,80,1,29,3,13,4,12,4
No,Travel_Rarely,30-40,Ex-Employees,Sales,Marketing,23026,Male,Manager,Divorced,Yes,3,34,No,745,14,Doctoral Degree,4,47,2,3,2,3503,23802,8,25,1,1,80,0,24,3,33,17,2,11
No,Travel_Frequently,50+,Current Employees,Research & Development,Medical,36650,Male,Healthcare Representative,Single,No,1,18,No,778,50,Associates Degree,5,117,2,1,5,15962,11718,1,25,3,5,80,3,11,5,22,20,7,8
No,Travel_Rarely,20-30,Current Employees,Research & Development,Technical Degree,91055,Female,Sales Executive,Divorced,No,0,23,Yes,703,16,Associates Degree,4,70,3,2,3,18120,26690,10,15,3,2,80,2,31,4,5,8,7,9
No,Non-Travel,30-40,Ex-Employees,Research & Development,Other,55980,Female,Healthcare Representative,Single,Yes,3,24,Yes,694,27,Doctoral Degree,2,81,4,3,4,13296,16711,6,23,3,2,80,2,32,4,22,5,8,7
No,Travel_Rarely,20-30,Ex-Employees,Research & Development,Technical Degree,2380,Male,Human Resources,Single,Yes,3,22,No,1452,49,Associates Degree,4,106,5,4,1,6671,11809,0,13,5,2,80,3,34,2,5,20,15,15
No,Travel_Frequently,40-50,Current Employees,Human Resources,Life Sciences,59056,Male,Sales Executive,Married,Yes,0,29,Yes,647,50,Master's Degree,5,49,2,2,5,6275,25534,10,20,5,5,80,1,8,3,24,0,8,0
No,Non-Travel,40-50,Current Employees,Human Resources,Technical Degree,86304,Male,Human Resources,Divorced,No,0,47,Yes,118,6,Doctoral Degree,3,119,3,5,4,17170,29297,7,10,2,4,80,1,6,2,27,8,15,11
No,Travel_Frequently,20-30,Ex-Employees,Human Resources,Marketing,92199,Female,Healthcare Representative,Single,Yes,0,52,Yes,1454,25,Associates Degree,1,107,2,4,4,4995,24776,2,38,2,2,80,2,10,4,33,6,4,7
No,Non-Travel,<20,Ex-Employees,Research & Development,Medical,96495,Male,Manager,Divorced,Yes,5,28,No,656,23,Master's Degree,2,81,4,4,5,19839,16419,2,12,2,3,80,1,14,2,0,7,1,15
No,Travel_Frequently,30-40,Ex-Employees,Human Resources,Other,39660,Male,Human Resources,Married,No,5,54,Yes,487,22,Associates Degree,1,87,2,2,2,4970,17823,6,40,1,1,80,0,14,1,27,8,10,13
No,Non-Travel,20-30,Current Employees,Human Resources,Technical Degree,44956,Female,Sales Representative,Married,Yes,5,58,No,1405,40,Bachelor's Degree,5,97,3,2,5,19580,12808,4,33,1,2,80,1,8,2,3,2,5,6
No,Travel_Frequently,20-30,Current Employees,Human Resources,Life Sciences,54365,Male,Sales Executive,Divorced,Yes,4,25,No,1129,1,Doctoral Degree,2,101,2,5,2,9218,21643,5,36,1,2,80,3,9,2,3,12,3,8
No,Non-Travel,<20,Current Employees,Research & Development,Life Sciences,39405,Female,Sales Executive,Divorced,No,0,46,No,929,5,Bachelor's Degree,1,63,3,2,3,5430,23016,1,19,1,4,80,2,14,4,34,5,4,12
No,Travel_Rarely,50+,Current Employees,Sales,Life Sciences,21393,Female,Human Resources,Divorced,No,2,19,Yes,1431,20,Bachelor's Degree,4,32,5,1,2,16803,28135,5,15,2,5,80,3,5,1,36,14,14,10
No,Travel_Frequently,40-50,Ex-Employees,Sales,Other,41556,Female,Laboratory Technician,Single,No,0,19,Yes,1388,12,Master's Degree,3,115,2,4,4,5459,10475,3,32,5,1,80,1,19,5,16,3,1,13
No,Non-Travel,50+,Current Employees,Sales,Other,79705,Male,Research Scientist,Married,No,5,27,No,1364,38,Doctoral Degree,1,45,3,3,4,12382,20515,9,38,2,3,80,1,7,5,40,10,10,9
No,Non-Travel,50+,Current Employees,Sales,Medical,57634,Male,Research Scientist,Married,No,0,22,Yes,290,3,Doctoral Degree,2,70,1,4,5,11469,24261,4,16,4,2,80,1,38,4,21,14,15,2
No,Travel_Frequently,20-30,Current Employees,Sales,Life Sciences,20625,Female,Healthcare Representative,Single,No,4,40,Yes,1068,20,Associates Degree,3,87,5,1,3,16758,23799,3,16,5,5,80,3,24,4,5,18,0,17
No,Travel_Frequently,40-50,Current Employees,Research & Development,Marketing,45205,Female,Research Scientist,Divorced,Yes,6,20,No,1177,22,Doctoral Degree,2,72,4,1,1,11034,29784,5,19,4,3,80,3,22,1,21,2,3,10
No,Travel_Frequently,<20,Current Employees,Human Resources,Other,69058,Female,Sales Executive,Married,No,1,56,Yes,1125,26,Doctoral Degree,2,103,2,3,4,11133,29571,6,10,4,2,80,2,26,3,11,6,6,12
No,Travel_Frequently,40-50,Current Employees,Research & Development,Technical Degree,31295,Female,Laboratory Technician,Divorced,No,2,36,Yes,1320,28,Master's Degree,2,116,3,2,4,10861,18326,6,30,1,2,80,1,23,2,8,7,12,13
No,Travel_Rarely,30-40,Ex-Employees,Research & Development,Other,97940,Female,Human Resources,Divorced,Yes,2,38,No,912,26,Doctoral Degree,2,107,5,4,4,5443,20865,3,13,2,3,80,3,2,1,16,6,5,9
No,Travel_Frequently,30-40,Ex-Employees,Sales,Marketing,14342,Male,Sales Executive,Divorced,Yes,5,33,No,759,31,Associates Degree,5,88,4,4,4,12153,16549,9,22,1,5,80,2,0,2,3,11,13,5
No,Non-Travel,20-30,Ex-Employees,Research & Development,Medical,35887,Male,Laboratory Technician,Married,Yes,6,27,Yes,1422,45,Master's Degree,2,86,2,3,2,8060,29326,3,33,3,5,80,3,13,1,28,13,10,3
No,Non-Travel,40-50,Current Employees,Sales,Technical Degree,51611,Male,Sales Representative,Married,No,2,31,Yes,1310,37,Doctoral Degree,4,112,1,1,1,12896,15138,10,36,1,2,80,0,32,5,26,10,13,1
No,Travel_Rarely,30-40,Current Employees,Human Resources,Life Sciences,79488,Male,Healthcare Representative,Divorced,Yes,2,46,No,574,10,Associates Degree,1,52,5,4,3,16176,28856,8,11,5,4,80,0,20,3,18,18,10,0
No,Travel_Frequently,30-40,Current Employees,Human Resources,Medical,66212,Male,Healthcare Representative,Single,No,4,43,No,1465,4,Associates Degree,3,46,1,3,4,1356,26425,7,17,3,3,80,3,5,4,22,19,8,10
No,Travel_Frequently,30-40,Ex-Employees,Research & Development,Life Sciences,42726,Male,Laboratory Technician,Married,No,1,25,Yes,1033,48,Associates Degree,3,60,4,1,3,4335,26341,3,21,5,5,80,1,28,4,33,15,11,9
No,Travel_Rarely,<20,Current Employees,Human Resources,Technical Degree,31551,Male,Laboratory Technician,Married,Yes,5,54,Yes,346,13,Doctoral Degree,3,40,5,1,5,14227,11768,8,33,4,1,80,3,12,3,33,16,10,16
No,Travel_Frequently,40-50,Ex-Employees,Human Resources,Medical,683,Male,Sales Executive,Divorced,Yes,5,47,No,637,48,Bachelor's Degree,2,51,5,1,2,19087,15498,1,30,3,2,80,1,11,1,24,3,9,1
No,Travel_Frequently,40-50,Current Employees,Sales,Marketing,86080,Male,Research Scientist,Divorced,No,4,30,Yes,213,3,Master's Degree,4,111,2,1,1,14004,29966,6,38,1,2,80,1,18,5,28,2,3,9
No,Travel_Frequently,<20,Current Employees,Research & Development,Life Sciences,96667,Male,Laboratory Technician,Married,No,0,47,No,1308,43,Doctoral Degree,4,116,1,5,3,17359,14733,9,25,1,3,80,1,6,4,38,6,11,20
No,Travel_Frequently,20-30,Ex-Employees,Research & Development,Other,835,Male,Healthcare Representative,Married,No,3,44,No,1488,48,Bachelor's Degree,2,117,4,4,3,8541,17229,10,38,4,4,80,2,11,2,3,4,8,7
No,Travel_Rarely,40-50,Ex-Employees,Sales,Life Sciences,382,Male,Sales Representative,Married,No,1,50,No,1396,26,Associates Degree,4,51,2,1,5,12838,14081,4,28,3,2,80,0,8,2,30,5,11,19
No,Non-Travel,40-50,Current Employees,Sales,Other,55592,Male,Manager,Married,No,6,56,Yes,804,50,Doctoral Degree,5,70,4,1,1,4358,23349,5,32,2,5,80,3,10,4,13,12,12,20
No,Travel_Rarely,20-30,Ex-Employees,Research & Development,Marketing,24279,Female,Healthcare Representative,Single,No,6,47,Yes,230,4,Bachelor's Degree,1,54,3,5,3,17383,12285,5,21,5,2,80,1,37,1,32,7,8,13
No,Travel_Frequently,<20,Current Employees,Human Resources,Life Sciences,95105,Male,Healthcare Representative,Single,No,4,18,No,953,35,Doctoral Degree,5,99,2,1,3,15490,21657,0,23,5,2,80,0,32,4,20,3,7,19
No,Travel_Rarely,40-50,Current Employees,Sales,Life Sciences,6417,Female,Sales Representative,Married,Yes,3,53,Yes,765,48,Master's Degree,5,102,3,3,5,17442,26372,5,12,4,4,80,0,29,3,11,2,11,15
No,Travel_Rarely,<20,Current Employees,Human Resources,Life Sciences,81776,Female,Sales Executive,Married,Yes,0,58,Yes,1078,44,Doctoral Degree,1,62,4,2,1,13550,21784,4,13,5,2,80,3,11,2,32,12,7,1
No,Non-Travel,<20,Current Employees,Research & Development,Life Sciences,99555,Male,Research Scientist,Married,No,3,47,Yes,250,1,Doctoral Degree,1,83,1,3,4,10427,22144,3,39,2,2,80,3,22,1,17,9,8,7
No,Non-Travel,<20,Current Employees,Human Resources,Technical Degree,78406,Male,Research Scientist,Divorced,Yes,1,42,Yes,764,26,Doctoral Degree,2,55,2,1,4,2211,18049,4,30,1,3,80,1,20,2,20,15,10,14
No,Travel_Rarely,50+,Current Employees,Human Resources,Marketing,35926,Female,Sales Representative,Married,No,1,44,Yes,964,35,Doctoral Degree,3,115,1,1,5,2467,13705,3,10,2,4,80,0,18,2,40,15,2,4
No,Travel_Rarely,<20,Current Employees,Research & Development,Marketing,85712,Female,Manager,Single,Yes,3,42,Yes,339,49,Associates Degree,5,38,2,4,2,6636,29935,3,23,2,3,80,0,34,4,26,6,14,13
No,Travel_Rarely,20-30,Ex-Employees,Human Resources,Medical,26907,Male,Sales Representative,Divorced,No,2,42,No,833,26,Doctoral Degree,1,61,1,1,2,13686,17959,5,34,5,5,80,0,10,3,3,20,8,12
No,Travel_Frequently,30-40,Ex-Employees,Research & Development,Other,99037,Male,Human Resources,Single,Yes,6,57,Yes,1219,35,Master's Degree,2,53,2,1,5,2553,11064,9,39,1,5,80,0,20,1,19,19,12,5
No,Non-Travel,50+,Ex-Employees,Sales,Marketing,26879,Female,Sales Representative,Single,No,0,34,No,1498,33,Master's Degree,5,71,3,4,1,3121,20168,3,36,5,2,80,0,39,3,16,18,2,17
No,Travel_Rarely,40-50,Ex-Employees,Human Resources,Medical,75323,Female,Human Resources,Single,Yes,2,48,Yes,703,35,Master's Degree,3,66,2,3,3,8563,20078,8,30,2,4,80,3,21,2,4,7,5,9
No,Non-Travel,50+,Current Employees,Research & Development,Medical,89387,Male,Manager,Single,No,1,36,Yes,1490,20,Associates Degree,3,116,4,1,4,15184,25412,5,40,1,5,80,2,37,4,20,11,11,8
No,Travel_Frequently,20-30,Ex-Employees,Sales,Other,44047,Male,Healthcare Representative,Single,No,5,27,Yes,430,32,Doctoral Degree,5,117,1,4,4,10158,17265,0,21,3,4,80,0,16,4,38,9,3,6
No,Non-Travel,50+,Ex-Employees,Research & Development,Other,13110,Female,Manager,Single,Yes,2,60,No,118,11,Associates Degree,3,67,4,3,3,16901,20361,6,34,5,3,80,0,17,5,25,19,13,4
No,Travel_Frequently,50+,Ex-Employees,Research & Development,Technical Degree,41174,Female,Manager,Married,No,5,54,Yes,1400,11,Bachelor's Degree,5,108,3,5,5,3704,13573,3,25,1,1,80,1,23,3,5,7,2,19
No,Travel_Rarely,<20,Current Employees,Sales,Marketing,55720,Male,Laboratory Technician,Single,No,1,51,No,1395,13,Associates Degree,1,68,2,3,4,12945,26772,3,13,4,1,80,0,26,4,35,9,8,19
No,Travel_Rarely,40-50,Current Employees,Human Resources,Medical,60030,Female,Sales Executive,Divorced,No,0,33,No,837,4,Master's Degree,5,34,2,3,3,15156,14576,4,10,4,2,80,2,36,3,5,11,10,9
No,Travel_Frequently,40-50,Current Employees,Research & Development,Medical,75186,Male,Manager,Divorced,No,4,43,No,853,5,Doctoral Degree,2,33,5,1,2,6033,27004,1,21,4,1,80,0,19,3,7,11,5,7
Yes,Travel_Frequently,50+,Current Employees,Research & Development,Medical,45691,Male,Research Scientist,Married,Yes,0,30,No,1046,5,Bachelor's Degree,2,62,2,4,3,11431,20991,3,39,4,4,80,0,39,2,5,18,5,10
Yes,Non-Travel,40-50,Current Employees,Sales,Other,80929,Female,Sales Representative,Divorced,Yes,6,22,Yes,969,25,Bachelor's Degree,4,114,2,2,3,3267,17460,9,33,5,1,80,2,19,4,8,15,8,17
Yes,Travel_Rarely,50+,Ex-Employees,Research & Development,Other,97455,Male,Healthcare Representative,Married,No,5,46,Yes,596,18,Bachelor's Degree,5,93,3,1,3,18996,27140,2,39,3,1,80,2,27,4,26,14,6,10
Yes,Travel_Frequently,30-40,Ex-Employees,Sales,Marketing,55854,Female,Healthcare Representative,Single,No,1,27,No,1475,6,Doctoral Degree,4,39,3,5,1,2079,17048,9,25,4,5,80,1,36,4,18,3,15,9
No,Non-Travel,20-30,Current Employees,Human Resources,Medical,27567,Male,Sales Executive,Divorced,Yes,2,47,Yes,934,50,Bachelor's Degree,2,117,1,4,3,5577,23193,2,28,2,4,80,0,27,2,36,4,7,9
Yes,Non-Travel,20-30,Ex-Employees,Sales,Technical Degree,67394,Male,Sales Executive,Married,No,3,30,No,314,9,Associates Degree,5,55,3,4,4,2895,28050,1,26,5,3,80,0,37,4,16,17,12,2
No,Non-Travel,50+,Ex-Employees,Human Resources,Other,3923,Female,Research Scientist,Single,No,2,60,No,382,9,Master's Degree,4,96,5,5,4,13240,11352,0,33,1,2,80,3,4,3,35,19,13,2
No,Travel_Frequently,50+,Current Employees,Human Resources,Medical,34519,Male,Healthcare Representative,Married,Yes,1,58,No,711,8,Master's Degree,1,40,3,2,1,2212,19762,5,36,4,5,80,2,37,5,19,4,14,18
No,Travel_Frequently,<20,Ex-Employees,Human Resources,Other,55212,Female,Healthcare Representative,Single,No,6,24,Yes,1361,16,Bachelor's Degree,3,113,2,2,3,10317,11154,0,27,4,1,80,0,38,3,11,15,9,17
Yes,Non-Travel,40-50,Ex-Employees,Research & Development,Life Sciences,85515,Female,Human Resources,Married,No,2,23,No,887,45,Master's Degree,2,32,5,2,1,14822,22416,3,13,1,3,80,0,25,2,8,17,4,9
No,Non-Travel,<20,Ex-Employees,Human Resources,Technical Degree,48653,Male,Research Scientist,Divorced,Yes,6,21,No,1441,9,Master's Degree,3,45,4,2,4,13080,18122,1,19,4,4,80,2,4,3,32,1,10,19
Yes,Non-Travel,50+,Ex-Employees,Human Resources,Marketing,27198,Male,Human Resources,Divorced,Yes,1,28,No,276,33,Doctoral Degree,3,44,2,5,3,18545,23523,2,32,5,4,80,3,9,2,7,18,13,17
No,Non-Travel,50+,Current Employees,Sales,Other,71365,Female,Sales Executive,Single,Yes,0,32,No,479,17,Master's Degree,1,46,5,2,4,7567,16375,10,29,3,2,80,1,17,1,7,7,1,6
Yes,Non-Travel,50+,Ex-Employees,Human Resources,Medical,83905,Male,Human Resources,Divorced,Yes,0,56,No,1177,33,Associates Degree,4,82,3,4,4,2136,16360,1,29,4,4,80,3,29,3,36,11,6,13
Yes,Travel_Frequently,40-50,Ex-Employees,Sales,Life Sciences,96228,Male,Healthcare Representative,Single,No,3,35,No,248,28,Doctoral Degree,3,62,4,4,3,18496,11005,0,36,5,3,80,0,4,5,21,18,11,12
Yes,Travel_Rarely,30-40,Current Employees,Sales,Technical Degree,73056,Female,Healthcare Representative,Divorced,No,1,39,Yes,1067,41,Bachelor's Degree,1,110,1,4,3,5514,21627,7,19,1,4,80,0,38,2,36,4,10,18
No,Travel_Frequently,40-50,Ex-Employees,Research & Development,Technical Degree,17137,Male,Manager,Divorced,Yes,6,20,No,243,47,Doctoral Degree,5,52,5,5,5,1058,17772,3,17,3,1,80,3,21,1,16,0,9,5
No,Travel_Rarely,<20,Ex-Employees,Human Resources,Medical,7589,Male,Laboratory Technician,Married,No,6,40,No,1079,32,Bachelor's Degree,1,92,5,2,2,14853,24685,5,38,4,4,80,0,18,4,0,19,8,10
No,Non-Travel,<20,Ex-Employees,Sales,Medical,81559,Male,Laboratory Technician,Married,No,0,33,Yes,1384,50,Doctoral Degree,1,61,5,2,1,6863,19069,4,27,3,2,80,1,25,4,40,13,2,9
Yes,Non-Travel,<20,Current Employees,Human Resources,Marketing,55665,Female,Research Scientist,Single,No,4,32,Yes,1060,5,Master's Degree,5,102,2,4,2,13276,16684,0,40,4,1,80,2,34,1,30,1,1,7
Yes,Non-Travel,<20,Ex-Employees,Sales,Medical,72201,Female,Laboratory Technician,Married,Yes,2,49,Yes,402,50,Associates Degree,5,35,1,4,1,16555,15964,7,30,2,2,80,1,1,4,36,8,14,13
No,Non-Travel,20-30,Ex-Employees,Sales,Medical,16786,Male,Healthcare Representative,Single,No,5,59,Yes,506,19,Master's Degree,5,82,1,3,2,10130,16072,4,10,5,2,80,0,20,5,19,12,12,1
No,Non-Travel,50+,Current Employees,Human Resources,Medical,21533,Male,Sales Executive,Married,No,4,27,No,469,19,Doctoral Degree,1,89,3,4,1,7935,12795,3,10,5,4,80,3,30,3,38,18,8,19
No,Travel_Rarely,20-30,Current Employees,Sales,Medical,82674,Female,Sales Executive,Single,No,3,23,Yes,596,35,Doctoral Degree,4,76,4,5,3,9137,16793,7,38,1,4,80,0,13,1,30,8,10,2
Yes,Travel_Rarely,20-30,Ex-Employees,Research & Development,Marketing,50505,Female,Healthcare Representative,Divorced,No,1,29,No,1034,24,Master's Degree,2,94,1,4,4,5226,12668,6,39,1,3,80,3,7,2,36,13,9,12
Yes,Travel_Frequently,20-30,Ex-Employees,Research & Development,Medical,89769,Male,Sales Representative,Single,Yes,1,48,No,818,45,Master's Degree,4,88,1,5,3,7956,27115,5,32,2,5,80,0,24,3,15,4,12,5
No,Travel_Frequently,30-40,Ex-Employees,Human Resources,Marketing,15825,Female,Human Resources,Single,Yes,0,59,No,1193,14,Associates Degree,2,82,4,1,1,2750,22411,8,14,4,1,80,1,14,5,9,10,4,17
Yes,Non-Travel,<20,Ex-Employees,Research & Development,Medical,48392,Female,Laboratory Technician,Divorced,Yes,5,32,No,436,40,Bachelor's Degree,5,61,2,1,3,11105,11837,5,32,2,1,80,0,34,2,32,5,11,1
